Author,Webpage,Mail,Calendar,Browser,Password Manager,Messaging,Notes,Cloud File Storage,To-Do,Code Editor,Terminal,Blogging,Launcher
kOoLiNuS,https://koolinus.wordpress.com/2023/11/07/app-defaults/,Thunderbird,Calendar.app,Firefox,1Password Family,Discord,Notes.app,Dropbox,Reminders.app,Byword,Terminal.app,,
Matt Fantinel,https://fantinel.dev/default-apps-2023,Fastmail,,Arc,1Password,Mastodon and Lemmy,Notion,iCloud,Notion/TickTick,Visual Studio Code,iTerm 2,N/A,Raycast
Numeric Citizen,https://blog.numericcitizen.me/2023/11/06/nsuserdefaults-defaults-nsuserdefaults.html,HEY Mail,Calendar.app + Fantastical.app,Safari,iCloud Keychain,iMessage,Craft + Apple Notes,iCloud,Things 3,,,,
Kev Quirk,https://kevquirk.com/my-default-apps-at-the-end-of-2023,Zoho,Zoho webmail,Safari,Bitwarden,Signal,Apple Notes,iCloud,Apple Reminders,VSCodium,,,Spotlight
Andrea Contino,https://gwtf.it/blog/2023/11/7/le-mie-app-di-default-del-2023,Outlook and Gmail,Fantastical,Chrome,1Password,No application mentioned,Notes app,Google Drive,Tasks,No application mentioned,No application mentioned,No application mentioned,No application mentioned
David H,https://notes.1705.net/posts/default-apps/,Apple Mail,Calendar,Safari,1Password Family,iMessage and Discord,Bear,iCloud,Things (with some shared reminders in Reminders),empty,empty,empty,empty
Austin White,https://austinwhite.org/default-apps,,,,,,,,,,,,
Adam Fortuna,https://adamfortuna.com/apps-i-use-2023,Gmail,Google Calendar,Chrome,1Password,Telegram,Notion,DropBox,Todoist,Visual Studio Code,Terminal (Mac),Notion,Apple Spotlight
Sébastien Etter,https://kleinheld.ch/posts/meine-default-apps/,Mail.app,,Safari,Proton Pass,Telegram,Obsidian,Dropbox,Todoist,,,,
Cory Dransfeldt,https://coryd.dev/posts/2023/default-apps-2023/,ProtonMail,Proton,Safari,1Password,Signal,Bear,iCloud,Todoist,Visual Studio Code,iTerm2,N/A,Alfred
Eric Walker,https://ericmwalk.blog/2023/11/06/application-defaults.html,Apple Mail,Calendar.app,Safari,iCloud KeyChain,iMessage,Apple Notes,iCloud and Google Drive,Reminders,,,,
Matt Birchler,https://birchtree.me/blog/my-default-apps-at-the-end-of-2023/,Gmail,Fantastical,Arc/Safari,1Password,,Obsidian,iCloud,Things 3,Visual Studio Code,Warp,Ghost,Raycast
jomalo,https://jomalo.com/defaults/,Spark,Fantastical,Safari,1Password,iMessage,Apple Notes,iCloud,Reminders,(not provided),(not provided),Micro.blog,(not provided)
Devon Dundee,https://devondundee.com/blog/default-apps,Apple Mail,Apple Calendar,Safari,iCloud Keychain,Messages,Apple Notes,iCloud Drive,Reminders,N/A,N/A,N/A,N/A
Arne,https://arne.me/articles/app-defaults,HEY,Calendar.app,Safari,1Password,,Tot,iCloud Drive,Things,NeoVim,iTerm,,
Michael Burkhardt,https://mihobu.lol/defaults,Fastmail,Fastmail,Firefox,1Password,Messages,Bear,OneDrive and iCloud,Reminders,N/A,N/A,N/A,N/A
tekphloyd,https://tekphloyd.com/defaults,Fastmail,Fastmail,Safari,iCloud Keychain,Messages,Notes,Synology Drive,Things,Visual Studio Code,N/A,N/A,N/A
David,https://www.superdavey.com/2023/11/05/defaults.html,Apple Mail,iCloud,Safari,iCloud,Apple Messages,Apple Notes,iCloud,Things 3,,,,
Andreas,https://andreas-spiegler.de/2023/11/05/app-defaults/,E-Mail,Calendar,Browser,,E-Mail,,,,,,,
Esteban,https://umerez.eu/2023/11/03/defaults.html,,Fantastical,Safari,,,NotePlan,,OmniFocus,,,,
Sylvia,https://sylvia.micro.blog/2023/11/05/my-defaults.html,OnMail,Google Calendar,Firefox,Bitwarden,gChat,Notes app,Sync,pencil to paper,Ulysses,not listed,not listed,not listed
Jarrod Blundy,https://heydingus.net/blog/2023/11/duel-of-the-defaults-jarrod-enters-the-ring,Spark Mail,Fantastical Calendar,Safari,iCloud Keychain,Apple Messages,Drafts,iCloud Drive,Things,,,N/A,N/A
Jeff Perry,https://jeffperry.me/2023/11/16/my-default-apps.html,Gmail / Outlook (work),Apple Calendar,Safari (iOS) Chrome (Desktop),iCloud,Apple Messages,Obsidian,Google Drive and iCloud,Todoist,,,,
Laker Turner,https://laker.tech/p/app-defaults,Fastmail,Calendar.app,Arc (on Mac),1Password,Discord,Obsidian,iCloud,Reminders.app,,,,
fLaMEd,https://flamedfury.com/posts/app-defaults,Mail.app / Fastmail,Calendar.app,Firefox,1Password,iMessage / Signal / Discord,Notes.app,iCloud Drive / Synology Drive,Pen & pad,N/A,N/A,N/A,N/A
Stefan,https://eay.cc/2023/my-app-defaults/,Spark,Fantastical,Safari (iOS),1Password,iMessage,Drafts,iCloud+,Things,,,,
Habib,https://www.chamline.net/default-apps/,Apple Mail,Apple Calendar,Safari on iOS/iPadOS,iCloud Keychain,iMessage,Apple Notes,iCloud Drive/Files app,Apple Reminders,,,,
Qiu,https://mastodon.social/@Qiu/111354288897085324,,,Mastodon web application,,,,,,,,,
Neil Macy,https://www.neilmacy.co.uk/blog/app-defaults,Mail.app,Fantastical,Safari,1Password,WhatsApp,Obsidian,iCloud Drive,Todoist,,,,
Matt,https://matt.routleynet.org/2023/11/04/duel-of-the.html,Apple Mail,Calendar.app,Safari,1Password,,Apple Notes,iCloud,Reminders,,,,
Marco,https://mb.esamecar.net/2023/11/04/app-defaults.html,Mail.app,Calendar,Safari,1Password,iMessage,Obsidian and some stuff left in Notes,iCloud Drive,Reminders (and Things at work),,,,
Andy Carolan,https://www.andycarolan.com/appdefaults,Apple Mail,Apple Calendar,Safari,Apple Passwords,iMessage,Apple Notes,iCloud Drive,Apple Reminders (personal),(not mentioned),(not mentioned),(not mentioned),(not mentioned)
Andrew Canion,https://canion.blog/2023/11/04/duel-of-the.html,Apple Mail,BusyCal,Safari,1Password,Signal,Obsidian,iCloud,OmniFocus,,,,
Zachary,https://alpine.weblog.lol/2023/11/the-defaults,Mail.app,Apple Calendar,Safari,iCloud Keychain,iMessage,Apple Notes,iCloud Drive,Reminders,BBEdit,N/A,N/A,N/A
Leon Mika,https://lmika.org/2023/11/04/defaults.html,Fastmail,Google Calendar,Safari,1Password,Android Messanger,Obsidian,Google Drive,Obsidian/Notion,GoLand,,,
Maique,https://maique.eu/2023/11/03/defaults.html,Fastmail HEY,Fantastical,Safari,1Password,WhatsApp,Drafts,iCloud Drive,Things,,,N/A,
Robb Knight,https://rknight.me/app-defaults/,Mail.app,Fantastical,Safari,1Password,Discord,Notes.app,iCloud Drive,Reminders,Sublime Text,(no application listed),Mastodon,(no application listed)
Gabz,https://gabz.blog/2023/11/my-defaults,iCloud and HEY,Fantastical Calendar,Safari,iCloud KeyChain,iMessage,Notes.app,iCloud Drive,Reminders (personal) and TickTick (Work),Not mentioned,Not mentioned,Not mentioned,Not mentioned
